Ref,X,Y,R
FIDUCIAL,23.5,99.5,0
FIDUCIAL,2,34,0
FIDUCIAL,37.5,2.5,0
C1,5.5,100.5,0
C2,15.5,97.75,180
C3,11.5,94.5,180
C4,20.75,93.75,270
C5,14.5,93.5,270
C6,24.25,93.5,270
C7,26,93.5,270
C8,33.25,93,0
C9,11.5,92.5,180
C10,3,90,0
C11,17,90,180
C12,36.75,86.75,180
C13,36.75,85,180
C14,21.5,81.25,270
C15,36.75,80.75,90
C16,29.5,78,180
C17,17.5,77.5,90
C18,25,77.5,90
C19,27,77.5,90
C20,2.25,76.5,90
C21,30.75,74.5,180
C22,3,73.5,180
C23,6.5,73.5,180
C24,13.5,73.5,0
C25,13.5,71.5,0
C26,11.5,67,90
C27,4.5,64,180
C28,4,59.5,270
C29,29.5,59,180
C30,33,59,0
C31,36.5,59,0
C32,5,54,0
C33,11.5,54,90
C34,33,53.5,90
C35,38,53.5,270
C36,23.5,49.75,90
C37,4,48.5,90
C38,29.5,48,180
C39,33,48,0
C40,36.5,48,0
C41,4.5,44,180
C42,5.25,31.5,90
C43,10.75,31.5,90
C44,33.75,30.5,180
C45,2.5,28,180
C46,13.5,28,0
C47,8,25.75,0
C48,20.25,25,0
C49,21,20.5,0
C50,8,20.25,0
C51,20.25,16,0
C52,33.75,10.5,0
C53,17,9,180
C54,5.5,6,90
C55,27.25,4,90
D1,26.75,30.5,270
D2,26.75,10.5,270
Q1,20,61.75,0
Q2,20,56.75,0
R1,5.5,102.5,180
R2,5.5,98.5,0
R3,5.5,96.5,0
R4,21.5,77.5,270
R5,23.25,77.5,270
R6,29.5,65,0
R7,33,65,180
R8,36.5,65,180
R9,29.5,63,0
R10,33,63,180
R11,36.5,63,180
R12,17,61.75,270
R13,23,61.75,270
R14,29.5,61,180
R15,33,61,0
R16,36.5,61,0
R17,8.5,60,270
R18,10.5,60,90
R19,6,59.5,270
R20,17,56.75,270
R21,23,56.75,270
R22,5,56.5,180
R23,5,51.5,180
R24,16.5,49.75,270
R25,6,48.5,90
R26,8.5,48,90
R27,10.5,48,270
R28,29.5,46,180
R29,33,46,0
R30,36.5,46,0
R31,11,44,180
R32,29.5,44,0
R33,33,44,180
R34,36.5,44,180
R35,14.5,43,270
R36,16.25,43,270
R37,18,43,270
R38,19.75,43,270
R39,21.5,43,270
R40,23.25,43,270
R41,25,43,270
R42,29.5,42,0
R43,33,42,180
R44,36.5,42,180
R45,23.75,30.5,270
R46,2.5,26.25,180
R47,13.5,26.25,0
R48,2.5,24.5,180
R49,13.5,24.5,0
R50,2.5,22.75,0
R51,13.5,22.75,0
R52,2.5,21,180
R53,13.5,21,180
R54,29.25,7.5,90
U1,28.75,85.25,0
U2,9.5,83.5,0
U3,9,54,0
U4,29.5,53.5,180
U5,35.5,53.5,180
U6,20,49.75,0
U7,8,23,270
U8,27.25,20.5,90
U9,13,6,0
U10,30.25,3.5,180
X1,36.75,91,270
X2,4.5,70.5,180
